,store,sido,gungu,address
0,송악점,충청남도,당진시,충청남도 당진시 송악읍 송악로 699
1,중산점,울산광역시,북구,"울산광역시 북구 중산로 7, 지상1층 (중산동)"
2,중산점,울산광역시,북구,울산광역시 북구 중산로7
3,청천점,충청북도,괴산군,충청북도 괴산군 청천면 청천2길 5
4,상도터미널점,경상북도,포항시,경상북도 포항시 남구 중흥로100번길 10
5,교대점,부산광역시,연제구,부산광역시 연제구 중앙대로 1235번길 10(거제동)
6,포천계곡점,경상북도,성주군,경상북도 성주군 가천면 포천계곡로 393
7,노형점,제주특별자치도,제주시,제주특별자치도 제주시 월랑북길10
8,광명역점,경기도,광명시,경기도 광명시 일직로12번길 19
9,중계본동점,서울특별시,노원구,서울특별시 노원구 중계로14길 29 (중계동)
10,북아현점,서울특별시,서대문구,서울특별시 서대문구 경기대로9길 81 (충정로 3가)
11,홍제점,서울특별시,서대문구,서울특별시 서대문구 통일로39가길 57
12,안암점,서울특별시,성북구,서울특별시 성북구 고려대로13길 43
13,상계점,서울특별시,노원구,서울특별시 노원구 상계로23다길 5
14,증산점,경남,양산시,경남 양산시 물금읍 새실2길 13
15,매천점,대구광역시,북구,대구광역시 북구 매천로17길 7
16,옥산점,경상북도,경산시,경상북도 경산시 성암로 7길 8 A동  105호
17,이동점,경상북도,포항시,"경상북도 포항시 남구 대이로 145, 102호"
18,해도점,경상북도,포항시,경상북도 포항시 남구 해동로 16-1
19,공성점,경상북도,상주시,경상북도 상주시 공성면 산현1길 34-3
20,당북점,경상북도,안동시,경상북도 안동시 배움길 52 1층
21,월포점,경상북도,포항시,경상북도 포항시 북구 청하면 해안로 2308번길 67
22,유천오류점,대전광역시,중구,대전광역시 중구 계백로 1603번길 28-6 1층(유천동)
23,운양점,경기도,김포시,경기도 김포시 김포한강11로 38
24,교동점,경남,양산시,경남 양산시 교동 245-2  협성강변타운 제상가 104동 101호
25,송도점,부산광역시,서구,"부산광역시 서구 충무대로 34, 상가동 2층 2-2호"
26,망우점,서울특별시,중랑구,서울특별시 중랑구 용마산로109길 24 (망우동)
