song_name,group_id,Release,composer,lyrics
OOH-AHH하게,1,2015-10-20,블랙아이드필승,모두 나를 가지고 매일 가만 안 두죠
Dance The Night Away,1,2018-07-09,Anne Judith Wik,오늘이 마지막인 듯 소리 질러 저 멀리
Rookie,2,2017-02-01,Jamil `Digi` Chammas,당당히 넌 고개를 들고 나를 봐
짐살라빔,2,2019-06-19,Olof Lindskog,Zimzalabim Zim-zimzalabim
붐바야,3,2016-08-08,TEDDY,YAH YAH YAH BOOMBAYAH
Kill This Love,3,2019-04-05,TEDDY,"Here I come kickin' the door, uh"
달라달라,4,2019-02-12,별들의전쟁,"People look at me, and they tell me"
ICY,4,2019-07-29,박진영,차갑게 보여도 어떡해 쿨한 나니까
Mr.애매모호,5,2014-06-18,김도훈,실례지만 내게 뭐가 묻은거니
고고베베,5,2019-03-14,김건모,일루와 일루와 일루와 일루와 일루와
